AuthorCourse,AuthorID,Cluster,PercMGS,Subject,SubjectNew,ClassSize,CourseLevel,TrtType,TrtIntensity,Treatment,MGSgroup,MGS,Pass,DFW,TotStuTypePerSection,PercPass
6a,6,2001,0.264705882,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,URM,1,6,3,9,0.666666667
6a,6,2002,0.163265306,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,NonURM,0,38,3,41,0.926829268
6a,6,2002,0.163265306,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,URM,1,4,4,8,0.5
6a,6,2003,0.163934426,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,NonURM,0,51,0,51,1
6a,6,2003,0.163934426,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,URM,1,8,2,10,0.8
6b,6,2004,0.130434783,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,NonURM,0,38,2,40,0.95
6b,6,2004,0.130434783,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,URM,1,6,0,6,1
6b,6,2005,0.09375,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,NonURM,0,29,0,29,1
6b,6,2005,0.09375,Mathematics,Mathematics,Small,Unknown,Combination,Unknown,Active,URM,1,3,0,3,1
6a,6,2006,0.042944785,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,NonURM,0,98,58,156,0.628205128
6a,6,2006,0.042944785,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,URM,1,3,4,7,0.428571429
6a,6,2007,0.069620253,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,NonURM,0,92,55,147,0.62585034
6a,6,2007,0.069620253,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,URM,1,6,5,11,0.545454545
6a,6,2008,0.131736527,Mathematics,Mathematics,Small,Unknown,Passive,Passive,Passive,NonURM,0,102,43,145,0.703448276
