AuthorCourse,AuthorID,Cluster,Subject,ClassSize,TrtType,Treatment,CourseLevel,TrtIntensity,stdExam,PercMGS,MGSgroup,MGS
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.529506682,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.371583637,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.575954637,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.260108546,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.161198865,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.365569865,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.207646819,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.213660591,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.371583637,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-2.62895423,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.213660591,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.161198865,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.207646819,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.213660591,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.055737546,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.260108546,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.845352774,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.523492911,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.213660591,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.733877683,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.687429728,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.891800728,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.213660591,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.733877683,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.371583637,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.1021855,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.207646819,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.371583637,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.575954637,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.003275819,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.687429728,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.055737546,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.1021855,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.687429728,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.891800728,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.523492911,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.575954637,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.845352774,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.687429728,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.891800728,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.529506682,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.003275819,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.792891047,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.049723774,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.687429728,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.845352774,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.260108546,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.003275819,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.950814093,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.049723774,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.477044956,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.845352774,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.260108546,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.207646819,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.055737546,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.207646819,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.891800728,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.575954637,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.161198865,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.529506682,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.418031591,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.634968002,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.003275819,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.365569865,0.301369863,URM,1
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.845352774,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,0.055737546,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.1021855,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-1.997262047,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,1.003275819,0.301369863,nonURM,0
1,1,101,Biology,Medium,Passive,Passive,Upper,Passive,-0.260108546,0.301369863,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-4.12242652,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-2.220853391,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-2.173314063,0.077777778,URM,1
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.840538765,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.792999437,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.412684811,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.412684811,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.365145483,0.077777778,URM,1
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.270066827,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.17498817,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.127448842,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-1.032370186,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.984830857,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.889752201,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.889752201,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.794673545,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.747134216,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.747134216,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.747134216,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.699594888,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.65205556,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.509437575,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.509437575,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.414358919,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.366819591,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.319280262,0.077777778,URM,1
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.319280262,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.224201606,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.224201606,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.224201606,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.224201606,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.176662278,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.12912295,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.12912295,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.12912295,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.081583621,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.081583621,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.081583621,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.034044293,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.034044293,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.034044293,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,-0.034044293,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.013495035,0.077777778,URM,1
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.013495035,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.013495035,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.061034363,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.108573692,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.118081557,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.15611302,0.077777778,URM,1
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.203652348,0.077777778,URM,1
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.203652348,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.203652348,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.203652348,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.203652348,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.298731004,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.298731004,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.346270333,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.346270333,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.393809661,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.393809661,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.488888317,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.536427645,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.583966974,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.631506302,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.631506302,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.726584958,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.726584958,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.726584958,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.774124287,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.774124287,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.774124287,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.821663615,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.869202943,0.077777778,URM,1
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.916742271,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,0.916742271,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.059360256,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.059360256,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.106899584,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.20197824,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.249517569,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.344596225,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.48721421,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.48721421,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.534753538,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.582292866,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.582292866,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.677371523,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.724910851,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,1.724910851,0.077777778,nonURM,0
2,2,200,CS/Engineering,Medium,Combination,Active,Intro,Low,2.295382789,0.077777778,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-2.553628688,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-2.411010704,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-2.173314063,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.840538765,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.840538765,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.602842124,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.412684811,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.365145483,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.365145483,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.317606155,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.317606155,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.270066827,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.222527498,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-1.127448842,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.984830857,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.889752201,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.889752201,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.747134216,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.747134216,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.699594888,0.041666667,nonURM,0
2,2,201,CS/Engineering,Medium,Passive,Passive,Intro,Passive,-0.699594888,0.041666667,nonURM,0
